route_id,trip_id,service_id,direction_id,block_id,shape_id,drt_advance_book_min,peak_offpeak,boarding_type
1,71668,223,1,111,12032,0.0,0,0
1,71669,223,1,123,12032,0.0,0,0
1,71670,223,1,123,12032,0.0,0,0
1,71671,223,1,123,12032,0.0,0,0
1,71672,223,1,123,12032,0.0,0,0
1,71673,223,1,123,12032,0.0,0,0
1,71674,223,1,130,12032,0.0,0,0
1,71675,223,1,130,12032,0.0,0,0
1,71676,223,1,131,12032,0.0,0,0
1,71677,223,1,122,12032,0.0,0,0
1,71678,223,1,135,12032,0.0,0,0
1,71679,223,1,115,12032,0.0,0,0
1,71680,223,1,115,12032,0.0,0,0
1,71681,223,1,141,12032,0.0,0,0
1,71682,223,1,141,12032,0.0,0,0
1,71683,223,1,141,12032,0.0,0,0
1,71684,223,1,141,12032,0.0,0,0
1,71685,223,1,146,12032,0.0,0,0
1,71686,223,1,137,12032,0.0,0,0
1,71687,223,1,137,12032,0.0,0,0
1,71688,223,1,137,12032,0.0,0,0
1,71689,223,1,135,12032,0.0,0,0
1,71690,223,1,141,12032,0.0,0,0
1,71691,223,1,140,12032,0.0,0,0
1,71692,223,1,140,12032,0.0,0,0
1,71693,223,0,111,12038,0.0,0,0
1,71694,223,0,123,12038,0.0,0,0
1,71695,223,0,123,12038,0.0,0,0
1,71696,223,0,123,12038,0.0,0,0
1,71697,223,0,123,12038,0.0,0,0
1,71698,223,0,123,12038,0.0,0,0
1,71699,223,0,130,12038,0.0,0,0
1,71700,223,0,130,12038,0.0,0,0
1,71701,223,0,131,12038,0.0,0,0
1,71702,223,0,122,12038,0.0,0,0
1,71703,223,0,135,12038,0.0,0,0
1,71704,223,0,115,12038,0.0,0,0
1,71705,223,0,115,12038,0.0,0,0
1,71706,223,0,141,12038,0.0,0,0
1,71707,223,0,141,12038,0.0,0,0
1,71708,223,0,141,12038,0.0,0,0
1,71709,223,0,141,12038,0.0,0,0
1,71710,223,0,146,12038,0.0,0,0
1,71711,223,0,137,12038,0.0,0,0
1,71712,223,0,137,12038,0.0,0,0
1,71713,223,0,137,12038,0.0,0,0
1,71714,223,0,135,12038,0.0,0,0
1,71715,223,0,141,12038,0.0,0,0
1,71716,223,0,140,12038,0.0,0,0
1,71717,223,0,140,12038,0.0,0,0
1,71718,224,1,170,12032,0.0,0,0
1,71719,224,1,170,12032,0.0,0,0
1,71720,224,1,183,12032,0.0,0,0
1,71721,224,1,194,12032,0.0,0,0
1,71722,224,1,183,12032,0.0,0,0
1,71723,224,1,181,12032,0.0,0,0
1,71724,224,1,183,12032,0.0,0,0
1,71725,224,1,183,12032,0.0,0,0
1,71726,224,1,7143,12032,0.0,0,0
1,71727,224,1,184,12032,0.0,0,0
1,71728,224,1,185,12032,0.0,0,0
1,71729,224,1,7142,12032,0.0,0,0
1,71730,224,1,189,12032,0.0,0,0
1,71731,224,1,188,12032,0.0,0,0
1,71732,224,1,189,12032,0.0,0,0
1,71733,224,0,170,12038,0.0,0,0
1,71734,224,0,170,12038,0.0,0,0
1,71735,224,0,183,12038,0.0,0,0
1,71736,224,0,194,12038,0.0,0,0
1,71737,224,0,183,12038,0.0,0,0
1,71738,224,0,181,12038,0.0,0,0
1,71739,224,0,183,12038,0.0,0,0
1,71740,224,0,183,12038,0.0,0,0
1,71741,224,0,7143,12038,0.0,0,0
1,71742,224,0,184,12038,0.0,0,0
1,71743,224,0,185,12038,0.0,0,0
1,71744,224,0,7142,12038,0.0,0,0
1,71745,224,0,189,12038,0.0,0,0
1,71746,224,0,188,12038,0.0,0,0
1,71747,224,0,189,12038,0.0,0,0
1,71748,225,1,203,12032,0.0,0,0
1,71749,225,1,203,12032,0.0,0,0
1,71750,225,1,205,12032,0.0,0,0
1,71751,225,1,203,12032,0.0,0,0
1,71752,225,1,205,12032,0.0,0,0
1,71753,225,1,3735,12032,0.0,0,0
1,71754,225,1,203,12032,0.0,0,0
1,71755,225,1,203,12032,0.0,0,0
1,71756,225,1,207,12032,0.0,0,0
1,71757,225,1,201,12032,0.0,0,0
1,71758,225,1,210,12032,0.0,0,0
1,71759,225,1,218,12032,0.0,0,0
1,71760,225,1,7176,12032,0.0,0,0
1,71761,225,1,7171,12032,0.0,0,0
1,71762,225,0,203,12038,0.0,0,0
1,71763,225,0,203,12038,0.0,0,0
1,71764,225,0,205,12038,0.0,0,0
1,71765,225,0,203,12038,0.0,0,0
1,71766,225,0,205,12038,0.0,0,0
1,71767,225,0,3735,12038,0.0,0,0
1,71768,225,0,203,12038,0.0,0,0
1,71769,225,0,203,12038,0.0,0,0
1,71770,225,0,207,12038,0.0,0,0
1,71771,225,0,201,12038,0.0,0,0
1,71772,225,0,210,12038,0.0,0,0
1,71773,225,0,218,12038,0.0,0,0
1,71774,225,0,7176,12038,0.0,0,0
1,71775,225,0,7171,12038,0.0,0,0
2,71776,223,1,115,12044,0.0,0,0
2,71777,223,1,110,12044,0.0,0,0
2,71778,223,1,116,12044,0.0,0,0
2,71779,223,1,125,12044,0.0,0,0
2,71780,223,1,116,12044,0.0,0,0
2,71781,223,1,128,12044,0.0,0,0
2,71782,223,1,124,12044,0.0,0,0
2,71783,223,1,134,12044,0.0,0,0
2,71784,223,1,117,12044,0.0,0,0
2,71785,223,1,124,12044,0.0,0,0
2,71786,223,1,131,12044,0.0,0,0
2,71787,223,1,142,12044,0.0,0,0
2,71788,223,1,7102,12044,0.0,0,0
2,71789,223,1,134,12044,0.0,0,0
2,71790,223,1,7106,12044,0.0,0,0
2,71791,223,1,143,12044,0.0,0,0
2,71792,223,1,142,12044,0.0,0,0
2,71793,223,1,150,12044,0.0,0,0
2,71794,223,1,7106,12044,0.0,0,0
2,71795,223,1,147,12044,0.0,0,0
2,71796,223,1,141,12044,0.0,0,0
2,71797,223,0,115,12050,0.0,0,0
2,71798,223,0,110,12050,0.0,0,0
2,71799,223,0,116,12050,0.0,0,0
2,71800,223,0,125,12050,0.0,0,0
2,71801,223,0,116,12050,0.0,0,0
2,71802,223,0,128,12050,0.0,0,0
2,71803,223,0,124,12050,0.0,0,0
2,71804,223,0,134,12050,0.0,0,0
2,71805,223,0,117,12050,0.0,0,0
2,71806,223,0,124,12050,0.0,0,0
2,71807,223,0,131,12050,0.0,0,0
2,71808,223,0,142,12050,0.0,0,0
2,71809,223,0,7102,12050,0.0,0,0
2,71810,223,0,134,12050,0.0,0,0
2,71811,223,0,7106,12050,0.0,0,0
2,71812,223,0,143,12050,0.0,0,0
2,71813,223,0,142,12050,0.0,0,0
2,71814,223,0,150,12050,0.0,0,0
2,71815,223,0,7106,12050,0.0,0,0
2,71816,223,0,139,12050,0.0,0,0
2,71817,224,1,175,12044,0.0,0,0
2,71818,224,1,180,12044,0.0,0,0
2,71819,224,1,174,12044,0.0,0,0
2,71820,224,1,175,12044,0.0,0,0
2,71821,224,1,172,12044,0.0,0,0
2,71822,224,1,177,12044,0.0,0,0
2,71823,224,1,180,12044,0.0,0,0
2,71824,224,1,184,12044,0.0,0,0
2,71825,224,1,185,12044,0.0,0,0
2,71826,224,1,188,12044,0.0,0,0
2,71827,224,1,189,12044,0.0,0,0
2,71828,224,1,188,12044,0.0,0,0
2,71829,224,1,190,12044,0.0,0,0
2,71830,224,1,3712,12044,0.0,0,0
2,71831,224,1,7147,12044,0.0,0,0
2,71832,224,1,7148,12044,0.0,0,0
2,71833,224,1,187,12044,0.0,0,0
2,71834,224,0,175,12050,0.0,0,0
2,71835,224,0,180,12050,0.0,0,0
2,71836,224,0,174,12050,0.0,0,0
2,71837,224,0,175,12050,0.0,0,0
2,71838,224,0,172,12050,0.0,0,0
2,71839,224,0,177,12050,0.0,0,0
2,71840,224,0,180,12050,0.0,0,0
2,71841,224,0,184,12050,0.0,0,0
2,71842,224,0,185,12050,0.0,0,0
2,71843,224,0,188,12050,0.0,0,0
2,71844,224,0,189,12050,0.0,0,0
2,71845,224,0,188,12050,0.0,0,0
2,71846,224,0,190,12050,0.0,0,0
2,71847,224,0,3712,12050,0.0,0,0
2,71848,224,0,7147,12050,0.0,0,0
2,71849,224,0,7148,12050,0.0,0,0
2,71850,225,1,204,12044,0.0,0,0
2,71851,225,1,215,12044,0.0,0,0
2,71852,225,1,204,12044,0.0,0,0
2,71853,225,1,216,12044,0.0,0,0
2,71854,225,1,207,12044,0.0,0,0
2,71855,225,1,211,12044,0.0,0,0
2,71856,225,1,3736,12044,0.0,0,0
